run_number,root_file,tdaq_start_local,tdaq_end_local,tdaq_elapsed_s,tdaq_entries,scaler_branch,scaler_wraps,status,match_quality,timepix_measurement_range,timepix_count,timepix_start_local,timepix_end_local,overlap_measurement_range,overlap_count,nearest_only_count
1781523200,/Users/berare/BL4S/TDAQ_stateofArt/1781523200.root,2026-06-15T13:33:20+02:00,2026-06-15T13:33:26+02:00,6.984830,31383,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781524123,/Users/berare/BL4S/TDAQ_stateofArt/1781524123.root,2026-06-15T13:48:43+02:00,2026-06-15T13:48:45+02:00,2.332780,16407,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781524429,/Users/berare/BL4S/TDAQ_stateofArt/1781524429.root,2026-06-15T13:53:49+02:00,2026-06-15T13:53:51+02:00,2.859200,19936,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781524884,/Users/berare/BL4S/TDAQ_stateofArt/1781524884.root,2026-06-15T14:01:24+02:00,2026-06-15T15:13:01+02:00,4297.370000,16619,Scaler0_ch15,1,ok,no_timepix_match,,0,,,,0,0
1781525253,/Users/berare/BL4S/TDAQ_stateofArt/1781525253.root,2026-06-15T14:07:33+02:00,2026-06-15T14:07:35+02:00,2.938280,15842,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781526140,/Users/berare/BL4S/TDAQ_stateofArt/1781526140.root,2026-06-15T14:22:20+02:00,2026-06-15T14:22:23+02:00,3.115590,5041,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781526539,/Users/berare/BL4S/TDAQ_stateofArt/1781526539.root,2026-06-15T14:28:59+02:00,2026-06-15T14:28:59+02:00,0.768273,1454,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781526647,/Users/berare/BL4S/TDAQ_stateofArt/1781526647.root,2026-06-15T14:30:47+02:00,2026-06-15T14:30:58+02:00,11.747100,33699,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781528050,/Users/berare/BL4S/TDAQ_stateofArt/1781528050.root,2026-06-15T14:54:10+02:00,2026-06-15T14:54:13+02:00,3.339690,14170,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781528487,/Users/berare/BL4S/TDAQ_stateofArt/1781528487.root,2026-06-15T15:01:27+02:00,2026-06-15T15:01:31+02:00,4.423840,20286,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781529232,/Users/berare/BL4S/TDAQ_stateofArt/1781529232.root,2026-06-15T15:13:52+02:00,2026-06-15T15:13:52+02:00,0.861668,3948,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781529335,/Users/berare/BL4S/TDAQ_stateofArt/1781529335.root,2026-06-15T15:15:35+02:00,2026-06-15T15:15:36+02:00,1.562770,5804,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781529497,/Users/berare/BL4S/TDAQ_stateofArt/1781529497.root,2026-06-15T15:18:17+02:00,2026-06-15T15:18:22+02:00,5.260340,14293,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781530162,/Users/berare/BL4S/TDAQ_stateofArt/1781530162.root,2026-06-15T15:29:22+02:00,2026-06-15T15:29:30+02:00,8.980570,18416,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781531244,/Users/berare/BL4S/TDAQ_stateofArt/1781531244.root,2026-06-15T15:47:24+02:00,2026-06-15T15:47:29+02:00,5.724650,15083,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781531989,/Users/berare/BL4S/TDAQ_stateofArt/1781531989.root,2026-06-15T15:59:49+02:00,2026-06-15T15:59:52+02:00,3.030780,15666,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781532345,/Users/berare/BL4S/TDAQ_stateofArt/1781532345.root,2026-06-15T16:05:45+02:00,2026-06-15T16:05:45+02:00,0.777881,5676,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781532441,/Users/berare/BL4S/TDAQ_stateofArt/1781532441.root,2026-06-15T16:07:21+02:00,2026-06-15T16:07:23+02:00,2.864280,21304,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781532795,/Users/berare/BL4S/TDAQ_stateofArt/1781532795.root,2026-06-15T16:13:15+02:00,2026-06-15T16:13:18+02:00,3.010110,20108,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781533243,/Users/berare/BL4S/TDAQ_stateofArt/1781533243.root,2026-06-15T16:20:43+02:00,2026-06-15T16:20:44+02:00,1.447520,9507,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781533426,/Users/berare/BL4S/TDAQ_stateofArt/1781533426.root,2026-06-15T16:23:46+02:00,2026-06-15T16:23:46+02:00,0.656942,5754,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781533519,/Users/berare/BL4S/TDAQ_stateofArt/1781533519.root,2026-06-15T16:25:19+02:00,2026-06-15T16:25:19+02:00,0.268218,2756,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781533611,/Users/berare/BL4S/TDAQ_stateofArt/1781533611.root,2026-06-15T16:26:51+02:00,2026-06-15T16:26:51+02:00,0.344614,2901,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781533662,/Users/berare/BL4S/TDAQ_stateofArt/1781533662.root,2026-06-15T16:27:42+02:00,2026-06-15T16:27:42+02:00,0.415573,2903,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781533725,/Users/berare/BL4S/TDAQ_stateofArt/1781533725.root,2026-06-15T16:28:45+02:00,2026-06-15T16:28:47+02:00,2.155220,14409,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781534432,/Users/berare/BL4S/TDAQ_stateofArt/1781534432.root,2026-06-15T16:40:32+02:00,2026-06-15T16:40:36+02:00,4.250370,29167,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781535038,/Users/berare/BL4S/TDAQ_stateofArt/1781535038.root,2026-06-15T16:50:38+02:00,2026-06-15T16:50:41+02:00,3.366690,21268,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781535472,/Users/berare/BL4S/TDAQ_stateofArt/1781535472.root,2026-06-15T16:57:52+02:00,2026-06-15T16:57:56+02:00,4.703220,23744,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781536316,/Users/berare/BL4S/TDAQ_stateofArt/1781536316.root,2026-06-15T17:11:56+02:00,2026-06-15T17:11:58+02:00,2.252710,15623,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781536571,/Users/berare/BL4S/TDAQ_stateofArt/1781536571.root,2026-06-15T17:16:11+02:00,2026-06-15T17:16:11+02:00,0.281047,1911,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781537628,/Users/berare/BL4S/TDAQ_stateofArt/1781537628.root,2026-06-15T17:33:48+02:00,2026-06-15T17:33:53+02:00,5.694960,11658,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781538373,/Users/berare/BL4S/TDAQ_stateofArt/1781538373.root,2026-06-15T17:46:13+02:00,2026-06-15T17:46:13+02:00,0.531514,4594,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781538472,/Users/berare/BL4S/TDAQ_stateofArt/1781538472.root,2026-06-15T17:47:52+02:00,2026-06-15T17:47:55+02:00,3.106950,15703,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781538897,/Users/berare/BL4S/TDAQ_stateofArt/1781538897.root,2026-06-15T17:54:57+02:00,2026-06-15T17:55:00+02:00,3.609320,16948,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781539375,/Users/berare/BL4S/TDAQ_stateofArt/1781539375.root,2026-06-15T18:02:55+02:00,2026-06-15T19:14:35+02:00,4300.920000,22199,Scaler0_ch15,1,ok,no_timepix_match,,0,,,,0,0
1781540226,/Users/berare/BL4S/TDAQ_stateofArt/1781540226.root,2026-06-15T18:17:06+02:00,2026-06-15T19:28:41+02:00,4295.980000,5908,Scaler0_ch15,1,ok,no_timepix_match,,0,,,,0,0
1781540343,/Users/berare/BL4S/TDAQ_stateofArt/1781540343.root,2026-06-15T18:19:03+02:00,2026-06-15T18:19:03+02:00,0.635289,3921,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781540456,/Users/berare/BL4S/TDAQ_stateofArt/1781540456.root,2026-06-15T18:20:56+02:00,2026-06-15T18:20:57+02:00,1.660640,10668,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781540655,/Users/berare/BL4S/TDAQ_stateofArt/1781540655.root,2026-06-15T18:24:15+02:00,2026-06-15T18:24:17+02:00,2.747980,21625,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781541020,/Users/berare/BL4S/TDAQ_stateofArt/1781541020.root,2026-06-15T18:30:20+02:00,2026-06-15T18:30:22+02:00,2.981260,17030,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781541412,/Users/berare/BL4S/TDAQ_stateofArt/1781541412.root,2026-06-15T18:36:52+02:00,2026-06-15T18:36:56+02:00,4.535470,20009,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781542154,/Users/berare/BL4S/TDAQ_stateofArt/1781542154.root,2026-06-15T18:49:14+02:00,2026-06-15T18:49:14+02:00,0.719549,4955,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781542269,/Users/berare/BL4S/TDAQ_stateofArt/1781542269.root,2026-06-15T18:51:09+02:00,2026-06-15T20:02:47+02:00,4298.130000,19853,Scaler0_ch15,1,ok,no_timepix_match,,0,,,,0,0
1781542636,/Users/berare/BL4S/TDAQ_stateofArt/1781542636.root,2026-06-15T18:57:16+02:00,2026-06-15T18:57:20+02:00,4.971750,30640,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781543196,/Users/berare/BL4S/TDAQ_stateofArt/1781543196.root,2026-06-15T19:06:36+02:00,2026-06-15T19:06:36+02:00,0.670182,4989,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
